Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams,C,26,OKC,23,23,27.3,4.8,7.9,0.604,0,0,0,4.8,7.9,0.608,0.604,1.5,3,0.515,3.3,6.3,9.6,2.7,0.4,1.3,1.5,1.9,11.1
2,Bam Adebayo,C,22,MIA,27,27,34.1,5.7,9.9,0.573,0,0.3,0.111,5.6,9.6,0.589,0.575,3.8,5.8,0.656,2.5,8.2,10.7,4.6,1.4,1.3,2.9,2.8,15.2
3,LaMarcus Aldridge,C,34,SAS,24,24,33.6,7.5,15.1,0.5,0.6,1.7,0.341,7,13.4,0.52,0.519,3.1,3.8,0.824,2,5.3,7.3,2.5,0.6,1.8,1.5,2.3,18.8
4,Nickeil Alexander-Walker,SG,21,NOP,23,0,14.1,2.3,6.7,0.342,1.2,3.6,0.337,1.1,3.1,0.347,0.432,0.5,0.7,0.688,0.2,2,2.2,1.9,0.4,0.1,1.1,1.2,6.3
5,Grayson Allen,SG,24,MEM,13,0,18.9,2.9,7.1,0.413,1.2,3.3,0.349,1.8,3.8,0.469,0.495,1.2,1.3,0.882,0.2,2.8,2.9,1.5,0.4,0.1,1.2,1.6,8.2
6,Jarrett Allen,C,21,BRK,27,24,26.6,4.9,7.3,0.665,0,0,0,4.9,7.3,0.668,0.665,2.6,4.3,0.609,3.6,6.9,10.6,1.2,0.7,1.4,1.2,2.5,12.3
7,Kadeem Allen,SG,27,NYK,1,0,16,3,6,0.5,3,4,0.75,0,2,0,0.75,0,0,,0,0,0,2,1,0,1,1,9
8,Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,0.291,0.5,2,0.25,0.9,2.8,0.32,0.343,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1,0.4,0.9,1.5,4.3
9,Kyle Anderson,PF,26,MEM,21,1,20,2.5,5.1,0.481,0.2,0.8,0.235,2.3,4.3,0.527,0.5,0.9,1.5,0.594,1,3.4,4.5,2.4,0.8,0.6,1,1.7,6
10,Ryan Anderson,PF,31,HOU,2,0,7,1,3.5,0.286,0.5,2.5,0.2,0.5,1,0.5,0.357,0,0,,0,3.5,3.5,1,0.5,0,0.5,0.5,2.5
11,Giannis Antetokounmpo,PF,25,MIL,27,27,31.2,11.7,20.8,0.564,1.6,5.1,0.321,10.1,15.7,0.642,0.603,6.6,11,0.598,2.7,10.1,12.8,5.3,1.3,1.2,3.7,3.1,31.7
12,Kostas Antetokounmpo,PF,22,LAL,2,0,1.5,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0,0,0,0,0
13,Thanasis Antetokounmpo,SF,27,MIL,5,0,5,1.2,2,0.6,0,0,,1.2,2,0.6,0.6,0.4,0.8,0.5,0.6,0,0.6,0.8,0,0,0.4,0.6,2.8
14,Carmelo Anthony,PF,35,POR,13,13,31.8,6.2,14.8,0.422,1.8,4.2,0.426,4.5,10.6,0.42,0.482,2.5,3.2,0.805,0.9,5.2,6.1,1.3,1.3,0.6,2.1,3.1,16.8
15,OG Anunoby,SF,22,TOR,25,25,29.7,4.4,8.7,0.505,1.4,3.7,0.387,3,5,0.592,0.587,0.8,1.3,0.606,1,4.6,5.6,1.7,1.3,0.9,1.2,2.4,11
16,Ryan Arcidiacono,PG,25,CHI,29,0,15.7,1.4,3.6,0.39,0.9,2.2,0.413,0.5,1.4,0.357,0.514,0.6,0.8,0.773,0.5,1.1,1.6,1.5,0.5,0.1,0.6,1.9,4.3
17,Trevor Ariza,SF,34,SAC,20,0,22.7,1.7,4.7,0.366,1.2,3.5,0.348,0.5,1.2,0.417,0.495,0.5,0.7,0.769,0.5,3.4,3.9,1.2,1,0.3,0.9,1.7,5.1
18,D.J. Augustin,PG,32,ORL,27,6,25.6,3.3,8.2,0.398,1.1,3.4,0.319,2.2,4.8,0.454,0.464,2.3,2.6,0.9,0.4,2,2.5,4.7,0.7,0,1.4,1.2,9.9
19,Deandre Ayton,C,21,PHO,2,2,29,9,16.5,0.545,0,0,,9,16.5,0.545,0.545,0,0.5,0,5,6.5,11.5,1.5,0.5,2.5,1,2,18
20,Dwayne Bacon,SG,24,CHO,21,10,18.4,2.3,7.4,0.314,0.5,2,0.233,1.9,5.4,0.345,0.346,1,1.5,0.71,0.4,2,2.5,1.2,0.7,0.1,0.9,1.5,6.2
21,Marvin Bagley,PF,20,SAC,5,1,23.4,5.8,13,0.446,0.4,1.2,0.333,5.4,11.8,0.458,0.462,1.2,1.8,0.667,2.4,4.8,7.2,0.6,0.2,0.8,1.2,2.8,13.2
22,Lonzo Ball,PG,22,NOP,20,13,28.5,3.7,10,0.37,2,5.9,0.333,1.8,4.2,0.422,0.468,0.7,1.3,0.56,0.9,3.7,4.6,5.5,1.2,0.3,2.6,1.9,10.1
23,Mo Bamba,C,21,ORL,25,0,15.6,2.4,5.4,0.444,0.8,2,0.38,1.6,3.4,0.482,0.515,0.4,0.6,0.667,1.4,3.8,5.2,0.6,0.2,1.3,1.1,2.1,6
24,J.J. Barea,PG,35,DAL,7,0,13.9,3.6,8,0.446,1.7,3.1,0.545,1.9,4.9,0.382,0.554,0.3,0.3,1,0.3,1.4,1.7,3.1,0.3,0.1,0.7,0.7,9.1
25,Harrison Barnes,PF,27,SAC,27,27,35.5,5.5,12,0.458,1.3,3.9,0.343,4.2,8.1,0.514,0.514,3.6,4.4,0.8,1,4.2,5.2,2.3,0.8,0.2,1.5,1.2,15.9
26,RJ Barrett,SG,19,NYK,27,27,32.1,5.3,13.3,0.397,1,3.4,0.304,4.3,9.9,0.429,0.436,2.6,4.7,0.551,1.1,4.3,5.3,2.9,1.2,0.4,2.2,2.3,14.2
27,Will Barton,SF,29,DEN,23,23,32.6,5.7,12.4,0.458,1.9,4.5,0.413,3.8,7.9,0.484,0.533,1.7,2.3,0.722,1.6,5.2,6.8,3.4,1.1,0.4,1.3,2.1,15
28,Keita Bates-Diop,SF,24,MIN,13,0,18.5,2.7,5.2,0.515,1.3,2.8,0.472,1.4,2.5,0.563,0.64,0.5,0.8,0.6,0.5,2.2,2.6,0.6,0.3,0.5,0.4,1,7.2
29,Nicolas Batum,SF,31,CHO,14,0,21.9,1.1,3.3,0.348,0.6,2.4,0.273,0.5,0.9,0.538,0.446,0.4,0.4,1,1.1,3.1,4.2,3.1,0.8,0.5,1.4,1.9,3.3
30,Aron Baynes,C,33,PHO,18,12,22.4,5.1,9.3,0.542,1.7,4.3,0.385,3.4,5,0.678,0.631,1.7,2.4,0.721,1.4,3.9,5.3,2.3,0.3,0.8,1.2,4.1,13.5
31,Kent Bazemore,SF,30,POR,27,6,23.5,2.6,7.5,0.347,1.3,3.8,0.34,1.3,3.7,0.354,0.433,1.4,1.7,0.809,0.4,3.8,4.1,1.6,0.9,0.7,1.4,2.9,7.9
32,Darius Bazley,PF,19,OKC,26,1,16.5,1.3,3.6,0.366,0.6,1.8,0.326,0.7,1.8,0.404,0.446,0.5,0.8,0.65,0.3,3.2,3.5,0.5,0.3,0.4,0.9,1,3.7
33,Bradley Beal,SG,26,WAS,25,25,36.8,9.5,21.4,0.446,2.7,7.9,0.343,6.8,13.4,0.506,0.509,6,7.3,0.825,1.2,3.5,4.7,7,1,0.2,3.6,2.7,27.8
34,Malik Beasley,SG,23,DEN,18,0,15.7,2.4,6.3,0.381,1.2,3,0.407,1.2,3.3,0.356,0.478,0.3,0.4,0.857,0.3,1.2,1.4,1,0.4,0.1,0.9,1.1,6.3
35,Marco Belinelli,SG,33,SAS,24,0,15.8,1.8,5.7,0.324,0.9,2.8,0.324,0.9,2.8,0.324,0.404,0.7,1,0.739,0,1.6,1.7,1.4,0.2,0,0.4,0.8,5.3
36,Jordan Bell,C,25,MIN,15,0,10,1.3,2.4,0.556,0,0.3,0,1.3,2.1,0.645,0.556,0.9,1.5,0.609,1.1,2.3,3.4,0.7,0.1,0.5,0.9,0.7,3.6
37,DeAndre' Bembry,SG,25,ATL,27,4,23,2.7,5.6,0.483,0.3,1.4,0.237,2.4,4.2,0.566,0.513,0.7,1.4,0.486,1,3.1,4.1,2.3,1.3,0.4,1.4,2,6.4
38,Dragan Bender,SF,22,MIL,3,0,9.7,2,2.7,0.75,0.7,1.3,0.5,1.3,1.3,1,0.875,0.3,0.3,1,0,0.7,0.7,1,0,0.7,0.3,2,5
39,D?vis Bert?ns,PF,27,WAS,25,1,29.1,5.1,10.9,0.469,3.8,8.4,0.457,1.3,2.5,0.508,0.645,1.4,1.6,0.872,0.9,3.7,4.6,1.6,0.6,0.7,0.6,2.5,15.4
40,Patrick Beverley,PG,31,LAC,25,25,29.3,2.9,7.2,0.408,1.4,4.2,0.33,1.5,2.9,0.521,0.506,0.6,0.9,0.609,1.4,4.8,6.2,3.1,1.4,0.6,1.4,3.5,7.8
41,Khem Birch,C,27,ORL,16,11,23.4,1.8,3.6,0.491,0,0.1,0,1.8,3.5,0.5,0.491,0.8,1.6,0.5,2.1,3.6,5.6,1.1,0.6,0.8,0.7,2.6,4.3
42,Goga Bitadze,C,20,IND,21,2,10.9,1.3,2.8,0.466,0.2,0.7,0.286,1.1,2.1,0.523,0.5,0.7,0.9,0.737,0.8,1.8,2.6,0.7,0,1,0.5,1.7,3.4
43,Bismack Biyombo,C,27,CHO,28,13,18,3.1,5.4,0.57,0,0,,3.1,5.4,0.57,0.57,1.8,3,0.6,2.3,3.4,5.6,0.9,0.2,0.7,0.7,2.1,8
44,Nemanja Bjelica,PF,31,SAC,27,26,26.3,4.3,9.2,0.47,1.9,4.4,0.42,2.5,4.8,0.515,0.57,0.8,0.9,0.913,1.7,4.6,6.3,2.8,1,0.6,1.6,2.9,11.3
45,Eric Bledsoe,PG,30,MIL,26,26,26.7,5.7,11.8,0.477,1.2,3.6,0.344,4.4,8.3,0.535,0.529,2.5,3.1,0.813,0.8,4.1,4.9,5.7,0.8,0.5,2.3,2.3,15
46,Bogdan Bogdanovi?,SG,27,SAC,25,0,27.7,5.2,12,0.432,2.7,6.7,0.401,2.5,5.4,0.47,0.543,1.5,2.1,0.698,0.3,2.4,2.7,3.9,1.2,0.1,2,2,14.6
47,Bojan Bogdanovi?,SF,30,UTA,26,26,33.4,7,15.6,0.452,3.4,7.3,0.461,3.7,8.2,0.444,0.56,3.7,4.2,0.88,0.6,3.8,4.4,2.1,0.7,0.2,2.8,1.8,21.1
48,Jonah Bolden,PF,24,PHI,2,0,2.5,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,1,0,0,0,0,0,0.5,0,0.5,0,1
49,Jordan Bone,PG,22,DET,3,0,2,0.7,1.7,0.4,0,0.3,0,0.7,1.3,0.5,0.4,0,0,,0,0,0,0,0,0,0.7,0.7,1.3
50,Isaac Bonga,SF,20,WAS,20,14,16.2,1.4,3,0.467,0.3,0.9,0.294,1.2,2.2,0.535,0.508,0.7,0.9,0.824,0.8,1.9,2.7,1.3,0.7,0.3,0.6,2.1,3.8
51,Devin Booker,SG,23,PHO,24,24,35.9,8.9,17.5,0.507,2.3,5.5,0.406,6.6,12,0.554,0.571,5,5.6,0.903,0.6,3.3,3.9,6.4,0.6,0.3,3.8,3,25
52,Chris Boucher,PF,27,TOR,23,0,11.7,1.9,4.1,0.453,0.5,1.6,0.333,1.3,2.6,0.525,0.516,1,1.3,0.71,1.9,2.2,4,0.5,0.3,0.7,0.3,1.4,5.2
53,Brian Bowen,SG,21,IND,3,0,3.3,0.3,1.3,0.25,0,0.3,0,0.3,1,0.333,0.25,0,0,,0,0.3,0.3,0,0,0.3,0,0,0.7
54,Ky Bowman,PG,22,GSW,26,6,22.9,3.4,7.5,0.454,1,2.5,0.415,2.3,5,0.473,0.523,0.8,0.8,0.909,0.5,2.2,2.7,2.7,0.9,0.1,1.2,2.1,8.6
55,Avery Bradley,SG,29,LAL,14,10,25.5,3.9,8.4,0.462,0.6,2.7,0.237,3.2,5.6,0.57,0.5,0.5,0.7,0.7,0.6,2.2,2.9,1.5,1,0.1,1.1,2.5,8.9
56,Tony Bradley,C,22,UTA,18,2,9.1,1.8,3,0.611,0,0,,1.8,3,0.611,0.611,0.6,0.9,0.688,1.4,2.1,3.5,0.3,0.1,0.4,0.4,1.6,4.3
57,Jarrell Brantley,PF,23,UTA,2,0,4.5,0,0,,0,0,,0,0,,,0,0,,0,2,2,0.5,0,1,0.5,0.5,0
58,Ignas Brazdeikis,SF,21,NYK,7,0,6.7,0.7,2.9,0.25,0.1,1.1,0.125,0.6,1.7,0.333,0.275,0.4,0.6,0.75,0.3,0.4,0.7,0.3,0,0.1,0.3,0.4,2
59,Mikal Bridges,SF,23,PHO,27,3,22,2.4,5.1,0.482,0.5,1.7,0.283,2,3.4,0.582,0.529,1.6,2,0.796,0.9,3.1,4.1,1.3,1.4,0.4,0.9,1.9,7
60,Miles Bridges,SF,21,CHO,30,30,31,4.8,11,0.436,1.6,4.4,0.368,3.2,6.6,0.482,0.511,1.3,1.7,0.765,1.2,3.9,5.1,1.7,0.5,0.8,1.7,2.1,12.5
61,Oshae Brissett,SF,21,TOR,5,0,3.6,0.2,0.6,0.333,0.2,0.2,1,0,0.4,0,0.5,0,0,,0,0.2,0.2,0.2,0.2,0,0.4,0.2,0.6
62,Ryan Broekhoff,SG,29,DAL,5,0,5.4,0.8,1.6,0.5,0.8,1,0.8,0,0.6,0,0.75,0,0,,0,1.2,1.2,0.6,0.2,0,0.4,0.2,2.4
63,Malcolm Brogdon,PG,27,IND,24,24,31.5,6.8,14.5,0.467,1.5,4.3,0.353,5.3,10.2,0.514,0.519,3.9,4.2,0.931,0.7,3.8,4.5,7.6,0.9,0.2,2.7,2,18.9
64,Dillon Brooks,SG,24,MEM,27,27,27.5,5.2,12.7,0.409,1.7,4.9,0.359,3.4,7.8,0.441,0.478,2.2,2.7,0.822,1,2.3,3.3,2,1.1,0.4,1.4,3.8,14.3
65,Bruce Brown,SG,23,DET,27,23,26.4,3.1,7.1,0.438,0.6,1.7,0.333,2.6,5.4,0.469,0.477,1.4,2.1,0.649,0.9,3.6,4.5,3.7,1.1,0.6,1.7,2.7,8.1
66,Charlie Brown,SG,22,ATL,4,0,4,0.3,0.8,0.333,0.3,0.3,1,0,0.5,0,0.5,1,1,1,0.5,0.3,0.8,0,0,0.3,0,0,1.8
67,Jaylen Brown,SF,23,BOS,21,21,33.8,7.3,14.7,0.5,1.9,5.1,0.374,5.4,9.6,0.567,0.565,2.8,3.8,0.734,1,5.9,6.9,2.2,1.1,0.3,1.8,3.4,19.3
68,Moses Brown,C,20,POR,4,0,3.8,0.8,1.8,0.429,0,0,,0.8,1.8,0.429,0.429,0.5,1,0.5,0.5,1.8,2.3,0,0.3,0,0.3,1,2
69,Sterling Brown,SF,24,MIL,20,0,17.2,2,5.1,0.396,1,2.6,0.385,1,2.5,0.408,0.495,0.7,1,0.684,0.7,3.8,4.5,1.4,0.7,0.1,0.9,1.2,5.7
70,Troy Brown,SG,20,WAS,22,11,22.8,3.1,6.8,0.46,0.5,1.8,0.275,2.6,5,0.527,0.497,1.1,1.5,0.781,1.4,3.7,5.1,2.3,1.4,0.1,1,1.5,7.9
71,Jalen Brunson,PG,23,DAL,26,4,17,3.2,6.5,0.488,0.7,2.1,0.352,2.4,4.4,0.553,0.545,1,1.4,0.73,0.5,2,2.5,3.2,0.5,0,1,1.3,8.1
72,Thomas Bryant,C,22,WAS,18,18,28.4,5.6,10.2,0.549,0.6,1.9,0.286,5.1,8.3,0.611,0.576,2.2,2.9,0.736,2.3,6.2,8.5,2.7,0.4,1,1.3,2.4,13.9
73,Trey Burke,PG,27,PHI,10,0,15.8,2.7,6.3,0.429,0.7,1.8,0.389,2,4.5,0.444,0.484,0.8,1.1,0.727,0.6,0.9,1.5,3.1,0.7,0.1,0.5,0.7,6.9
74,Alec Burks,SG,28,GSW,25,11,29.1,5.2,12,0.43,1.4,4,0.356,3.7,8,0.467,0.49,3.6,4.1,0.883,0.8,3.6,4.4,2.9,1.1,0.2,1.6,2.2,15.4
75,Deonte Burton,SG,26,OKC,12,0,8.4,1.1,2.8,0.394,0.4,1.4,0.294,0.7,1.3,0.5,0.47,0.3,0.3,0.75,0.3,1.5,1.8,0.3,0.1,0.1,0.3,0.9,2.8
76,Jimmy Butler,SF,30,MIA,23,23,35.7,6.2,14.3,0.432,1,3.6,0.28,5.2,10.7,0.482,0.467,7.8,9.4,0.829,2,4.5,6.4,6.8,2.1,0.7,2.6,1.3,21.2
77,Bruno Caboclo,SF,24,MEM,17,0,10.5,1.6,3.8,0.431,0.2,1.4,0.174,1.4,2.5,0.571,0.462,0.1,0.2,0.667,0.9,1.4,2.4,0.5,0.5,0.7,0.4,1.2,3.6
78,Kentavious Caldwell-Pope,SG,26,LAL,28,18,24.8,3.3,7.1,0.455,1.2,3.1,0.384,2.1,4.1,0.509,0.538,1,1.3,0.771,0.6,1.5,2.2,1.8,0.8,0.1,0.9,1.7,8.6
79,Vlatko ?an?ar,SF,22,DEN,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
80,Clint Capela,C,25,HOU,23,23,33.2,6.3,9.8,0.642,0,0,,6.3,9.8,0.642,0.642,1.3,2.8,0.446,4.2,10.5,14.7,1.1,0.8,2,1.7,2.7,13.9
81,DeMarre Carroll,SF,33,SAS,11,0,10.9,0.6,2.3,0.28,0.3,1.1,0.25,0.4,1.2,0.308,0.34,0.9,1.3,0.714,0.6,2,2.6,0.9,0.2,0.2,0.8,1.5,2.5
82,Jevon Carter,PG,24,PHO,18,2,14.7,1.5,3.9,0.386,0.8,2.3,0.366,0.7,1.6,0.414,0.493,0.2,0.2,1,0.4,1.5,1.9,1.7,0.8,0.3,0.8,1.6,4.1
83,Vince Carter,SF,43,ATL,23,0,16.1,2.2,6,0.37,1.2,4,0.308,1,2,0.489,0.471,0.3,0.6,0.615,0.2,1.7,1.8,1,0.3,0.3,0.6,1.7,6
84,Wendell Carter,C,20,CHI,29,29,30,4.7,8.3,0.563,0.1,0.6,0.118,4.6,7.7,0.596,0.567,2.6,3.7,0.71,3.4,6.3,9.8,1,0.8,0.9,1.5,4,12
85,Michael Carter-Williams,SG,28,ORL,17,0,16.4,1.9,5.1,0.368,0.4,1.8,0.233,1.5,3.4,0.439,0.408,1.3,1.8,0.71,1,2.2,3.2,2.1,0.9,0.5,0.9,1.4,5.5
86,Alex Caruso,PG,25,LAL,26,0,20.5,2.1,4.7,0.447,0.8,2.2,0.357,1.3,2.6,0.522,0.528,0.7,1,0.68,0.2,2,2.2,1.8,1.1,0.3,1,1.6,5.7
87,Willie Cauley-Stein,C,26,GSW,25,24,22.7,3.5,6.4,0.55,0,0,,3.5,6.4,0.55,0.55,0.9,1.4,0.647,1.5,4.9,6.4,1.5,1.2,1.3,1,2.9,7.9
88,Tyson Chandler,C,37,HOU,18,4,9.1,0.7,0.9,0.765,0,0,,0.7,0.9,0.765,0.765,0.3,0.5,0.556,1.1,1.7,2.7,0.3,0.3,0.4,0.3,1.3,1.7
89,Wilson Chandler,SF,32,BRK,2,0,18.5,2,3.5,0.571,0.5,1.5,0.333,1.5,2,0.75,0.643,0,0,,0.5,6,6.5,2,0.5,0.5,1,3,4.5
90,Zylan Cheatham,SF,24,NOP,2,0,10,0.5,2,0.25,0,0.5,0,0.5,1.5,0.333,0.25,0,0,,0,1.5,1.5,0.5,0,0,0.5,1.5,1
91,Chris Chiozza,PG,24,WAS,10,0,12.3,1,3.4,0.294,0.7,1.6,0.438,0.3,1.8,0.167,0.397,0,0,,0,1.5,1.5,2.8,1,0.2,0.9,1.2,2.7
92,Marquese Chriss,PF,22,GSW,27,1,17.9,2.6,5.4,0.476,0.1,0.7,0.2,2.4,4.7,0.52,0.49,1.9,2.3,0.81,1.6,3.6,5.2,2,0.7,1,1.4,2,7.2
93,Gary Clark,PF,25,HOU,12,0,11.9,1.3,3.5,0.357,0.9,3,0.306,0.3,0.5,0.667,0.488,0.5,0.6,0.857,0.7,1.8,2.4,0.7,0.1,0.5,0.1,1.2,3.9
94,Brandon Clarke,PF,23,MEM,21,2,21.6,5.4,8.3,0.646,0.6,1.2,0.5,4.8,7.1,0.671,0.683,1.3,1.7,0.8,1.3,4.7,6,1.1,0.4,1,1,1.9,12.7
95,Jordan Clarkson,SG,27,CLE,27,0,22.6,4.7,11.1,0.427,2,5.5,0.356,2.8,5.6,0.497,0.515,2.6,2.9,0.899,0.7,1.6,2.2,2.4,0.6,0.3,1.4,1.1,14.1
96,Nicolas Claxton,PF,20,BRK,9,0,13.2,1.2,2.3,0.524,0,0.6,0,1.2,1.8,0.688,0.524,0.6,1.3,0.417,0.9,1.6,2.4,1.2,0.1,0.6,0.7,1.1,3
97,Chris Clemons,SG,22,HOU,19,0,8.5,1.7,4.1,0.429,1.3,3.3,0.387,0.5,0.8,0.6,0.584,0.2,0.2,0.75,0.1,0.6,0.7,0.3,0.3,0.2,0.4,0.8,4.9
98,John Collins,PF,22,ATL,5,5,32.2,6.4,12.2,0.525,1.8,3.8,0.474,4.6,8.4,0.548,0.598,2.4,3.4,0.706,2,6.8,8.8,1.6,1,2,1.4,3.4,17
99,Zach Collins,PF,22,POR,3,3,28.7,3,6.3,0.474,1,2.3,0.429,2,4,0.5,0.553,2,2,1,1.3,2.7,4,2,0,0.7,2,3.7,9
100,Mike Conley,PG,32,UTA,22,22,29.4,4.5,12.3,0.365,1.8,5,0.36,2.7,7.3,0.369,0.439,2.8,3.5,0.803,0.7,2.6,3.3,4.6,0.7,0.2,2,2.2,13.6
101,Pat Connaughton,SG,27,MIL,26,0,17.2,2,4,0.486,0.7,2.2,0.328,1.2,1.8,0.681,0.576,0.5,0.7,0.765,0.5,3.3,3.8,1.8,0.3,0.5,0.6,1,5.2
102,Quinn Cook,PG,26,LAL,20,0,13.4,2.1,4.9,0.429,0.6,1.8,0.343,1.5,3.2,0.476,0.49,0.2,0.3,0.8,0.2,1,1.2,1.5,0.3,0.1,0.8,0.6,5
103,Tyler Cook,PF,22,CLE,6,0,2.8,0.8,1,0.833,0,0,,0.8,1,0.833,0.833,0.3,0.3,1,0.5,0.3,0.8,0,0.2,0,0.2,0.2,2
104,Robert Covington,PF,29,MIN,24,24,28.1,4.2,9.4,0.447,2.1,5.8,0.357,2.1,3.6,0.593,0.558,2,2.2,0.887,0.7,4.6,5.3,1.1,1.4,0.8,1.6,3.1,12.5
105,Allen Crabbe,SG,27,ATL,16,1,19.4,2,5.4,0.372,1,3.5,0.286,1,1.9,0.533,0.465,0.4,0.6,0.778,0.4,1.9,2.4,0.9,0.6,0.2,0.4,1.1,5.4
106,Torrey Craig,SF,29,DEN,18,2,13.8,1.3,3.2,0.397,0.4,1.5,0.259,0.9,1.7,0.516,0.457,0.3,0.6,0.545,0.7,1.7,2.3,0.8,0.3,0.7,0.3,1.8,3.3
107,Jae Crowder,SF,29,MEM,26,26,31.2,3.5,9.3,0.376,2.1,6.6,0.314,1.4,2.7,0.529,0.488,1.7,2.3,0.746,0.8,5.4,6.2,2.8,1,0.4,1.5,2.1,10.8
108,Jarrett Culver,SG,20,MIN,25,15,23.3,3.4,9.2,0.371,0.9,3.7,0.25,2.5,5.5,0.453,0.421,0.9,2.1,0.434,1.1,2.2,3.3,2.2,0.8,0.5,1.2,2,8.6
109,Seth Curry,SG,29,DAL,24,9,21.8,3.3,7,0.47,1.7,4.2,0.41,1.6,2.8,0.559,0.592,1.5,1.6,0.921,0.5,1.8,2.2,1.8,0.6,0.2,1,1.8,9.8
110,Stephen Curry,PG,31,GSW,4,4,28,6.8,16.5,0.409,2.3,9.3,0.243,4.5,7.3,0.621,0.477,4.5,4.5,1,1,4,5,6.5,1.3,0.5,3.8,2.5,20.3
111,Troy Daniels,SG,28,LAL,21,0,13.8,1.7,4.5,0.368,1.1,3.3,0.343,0.5,1.2,0.44,0.495,0.2,0.3,0.571,0.2,1.1,1.3,0.4,0.3,0,0.3,0.7,4.7
112,Anthony Davis,PF,26,LAL,26,26,34.7,9.6,19.3,0.499,1.2,3.6,0.319,8.5,15.7,0.541,0.529,7,8.2,0.858,2.4,6.9,9.3,3.3,1.5,2.6,2.3,2.4,27.4
113,Ed Davis,C,30,UTA,15,0,12.1,0.7,1.7,0.44,0,0,,0.7,1.7,0.44,0.44,0.3,0.6,0.444,1.1,3.5,4.5,0.5,0.4,0.5,0.7,2.4,1.7
114,Terence Davis,SG,22,TOR,26,0,15.7,2.3,5,0.458,1.1,2.7,0.4,1.2,2.3,0.525,0.565,0.7,0.7,0.947,0.6,2.2,2.8,1.8,0.5,0.2,0.8,1.7,6.4
115,Dewayne Dedmon,C,30,SAC,21,4,14.5,2,4.9,0.408,0.5,2.3,0.229,1.5,2.6,0.564,0.461,0.5,0.6,0.846,1.2,2.8,4,0.4,0.4,0.5,1.5,2.6,5
116,Matthew Dellavedova,PG,29,CLE,25,0,12.9,0.9,3,0.297,0.2,1.7,0.119,0.7,1.3,0.531,0.331,0.6,0.6,0.938,0.3,1,1.3,2.3,0.4,0,0.7,1.5,2.6
